"Version","Class","Domain","Data Collection Scenario/Implementation Option","Variable Order","CDASHIG Variable","CDASHIG Variable Label","DRAFT CDASHIG Definition","Question Text","Prompt","Type","CDASHIG Core","Case Report Form Completion Instructions","SDTMIG Target","Mapping Instructions","CDISC CT Codelist Code(s), Subset Codes(s)","Codelist Submission Value","Implementation Notes"
"CDASHIG v2.3","Findings","OE",,"31","OEACPTFL","Accepted Record Flag","An indication that the evaluation is considered, by an independent assessor, to be the accepted or final evaluation.","Is this record considered to be the [accepted/final] evaluation?","[Accepted/Final] Evaluation","Char","O",,"OEACPTFL","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","NY","Used where more than 1 assessor provides an evaluation of a result or response. Typically a checkbox with the value of ""Y"" or ""NULL"", which indicates the evaluation was accepted."
"CDASHIG v2.3","Findings","OE",,"32","OEREPNUM","Ophthalmic Examination Repetition Number","The instance number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary (e.g., within a time point, within a visit).","What was the repetition number within the time point for this measurement?","Repetition Number","Char","O",,"OEREPNUM","Maps directly to the SDTM variable listed in the SDTM Target column.","","","The repetition number of the test/measurement within the time point may be preprinted on the CRF (e.g., multiple measurements of blood pressure, multiple analyses of a sample."
"CDASHIG v2.3","Findings","RE",,"1","STUDYID","Study Identifier","A unique identifier for a study.","What is the study identifier?","[Protocol/Study]","Char","HR",,"STUDYID","Maps directly to the SDTM variable listed in the SDTM Target column .","","","Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or in the EDC system. This field can be included in the database or populated during SDTM-based dataset creation."
"CDASHIG v2.3","Findings","RE",,"2","SITEID","Study Site Identifier","A unique identifier for a site within a study.","What is the site identifier?","Site (Identifier)","Char","HR",,"SITEID","Maps directly to the SDTM variable listed in the SDTM Target column.","","","Paper: This is typically pre-printed in the header of each CRF page for single-site studies. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be pre-printed on the CRFs that are shipped to each site. \n EDC: This should be pre-populated."
"CDASHIG v2.3","Findings","RE",,"3","SUBJID","Subject Identifier for the Study","A unique subject identifier within a site and a study.","What is the subject identifier?","Subject","Char","HR","Record the identifier for the subject.","SUBJID","Maps directly to the SDTM variable listed in the SDTM Target column.","","","Paper: This is typically recorded in the header of each CRF page. EDC: The subject identifiers may be provided to the site using a pre-populated list in the system. This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTMIG DM domain. For more information, refer to the SDTMIG."
"CDASHIG v2.3","Findings","RE",,"4","VISIT","Visit Name","The name of a clinical encounter that encompasses planned and unplanned trial interventions, procedures, and assessments that may be performed on a subject.","What is the visit name?","[Visit]","Char","R/C",,"VISIT","Maps directly to the SDTM variable listed in the SDTM Target column.","","","The name of the clinical encounter is typically pre-printed on the CRF or displayed in the EDC for any visit-based data collection, most often in Findings domains. This Visit text description is then available in any EDC data extract for that Findings domain."
"CDASHIG v2.3","Findings","RE",,"5","VISDAT","Visit Date","Date the clinical encounter occurred (or started).","What [is/was] the date of the visit?","(Visit) Date","Char","R/C","Record the [date/start date] of the visit using this format (DD-MON-YYYY).","","This field is not an SDTM variable. The date of a measurement, test, observation can be determined from the date/time of visit (VISDAT/VISTIM) and then concatenating the CDASH VISDAT/VISTIM components and populating the SDTMIG variable VSDTC in ISO 8601 format.","","","The date the RE measurements were collected can be determined from the visit date variable (VISDAT) and applying that date to all of the observations at that visit, or the collection date can be included on the RE CRF using the Respiratory Assessments (REDAT) field."
"CDASHIG v2.3","Findings","RE",,"6","REPERF","Respiratory Assessment Performed","An indication of whether a planned measurement, test, observation or specimen was performed/collected.","Was a respiratory assessment performed?","Respiratory Assessment Performed","Char","O","Indicate whether or not a respiratory assessment was done.","RESTAT","This field does not map directly to an SDTM variable. May be used to populate a value into the SDTM variable RESTAT. If the CDASH variable REPERF=""N"", the value of the SDTM variable RESTAT is ""NOT DONE"". If REPERF= ""Y"", RESTAT is null. A combination of SDTM variables (e.g., RECAT and RESCAT, RETPT ) is used to indicate that multiple tests were not done. In this situation, the SDTM variable RETESTCD would be populated with REALL and an appropriate test name (RETEST) provided. See SDTMIG for additional information.","C66742","NY","This field is used to capture a response to whether or not a planned measurement, test or observation was performed. A negative response can be collected as ""N"" and mapped to the -STAT variable in SDTM as "" NOT DONE""."
"CDASHIG v2.3","Findings","RE",,"7","REDAT","Respiratory Assessment Date","The date the respiratory measurement was performed, represented in an unambiguous date format (e.g., DD-MON-YYYY).","What was the date the respiratory measurement was taken?","Date","Char","R/C","Record date of measurements using this format (DD-MON-YYYY).","REDTC","This field does not map directly to an SDTM variable. For the SDTM submission dataset, concatenate all collected CDASH DATE and TIME components and populate the SDTM variable REDTC in ISO 8601 format.","","","The date the RE measurements were collected can be determined from the visit date variable (VISDAT) and applying that date to all of the observations at that visit, or the collection date can be included on the RE CRF using the Date of Collection (REDAT) field."
"CDASHIG v2.3","Findings","RE",,"8","RETIM","Respiratory Assessment Time","The time of measurement, represented in an unambiguous time format (e.g., hh:mm:ss).","What was the time of the respiratory system measurement?","Time","Char","R/C","Record time of measurement (as complete as possible).","REDTC","This field does not map directly to an SDTM variable. For the SDTM submission dataset, concatenate all collected CDASH DATE and TIME components and populate the SDTM variable REDTC in ISO 8601 format.","","","A single collection time (e.g., RETIM) may be collected for all the measurements when they are performed at the same time. The time of each measurement can also be collected using a CDASH variable [RETESTCD]_RETIM."
"CDASHIG v2.3","Findings","RE",,"9","RETPT","RE Assessment Planned Time Point Name","A text description of planned time points when measurements should be taken, as defined in the protocol.","What is the planned time point for this respiratory assessment measurement?","[Planned Time Point Name]","Char","R/C","Record the planned time-point labels for respiratory assessment, if not pre-printed on the CRF.","RETPT","Maps directly to the SDTM variable listed in the SDTM Target column. See the SDTMIG for additional information on representing time points. The SDTM time-point anchors RETPTREF (text description) and RERFTDTC (date/time) may be needed, as well as SDTMIG variables RETPTNUM, REELTM.","","","Planned time points are needed to differentiate multiple sequential assessments. It is recommended that time points should be pre-printed on the CRF rather than collected in a free-text field. If the form is laid out as a grid, then terms such as ""Planned Time Point"" can be included in the column heading."
"CDASHIG v2.3","Findings","RE",,"10","RETEST","Respiratory Test Name","Descriptive name of the test or examination used to obtain the measurement or finding.","What is the respiratory test name?","[Respiratory Test Name]","Char","HR","Record the name of the respiratory test, if not pre-printed on the CRF.","RETEST; RETESTCD","Maps directly to the SDTM variable listed in the SDTM Target column. The SDTM variable RETESTCD may be determined from the value collected in RETEST using the Controlled Terminology List RETESTCD. The SDTMIG variables RETESTCD and RETEST are required in SDTM.","C111107","RETEST","The test name will usually be pre-printed on the CRF, and not solicited as a question. If the form is laid out as a grid, then ""Test"" or ""Test Name"" can be included in the column heading. RETEST is most useful as the PROMPT on the field in which the RESULT for that test is collected."
"CDASHIG v2.3","Findings","RE",,"11","RECAT","Category for Respiratory Test","A grouping of topic-variable values based on user-defined characteristics.","What is the category of the respiratory test?","[Respiratory Test Category]; NULL","Char","R/C","Record the respiratory assessment category, if not pre-printed on the CRF.","RECAT","Maps directly to the SDTM variable listed in the SDTM Target column.","","","Sponsor-defined controlled terminology. This would most commonly be either a heading or a pre-printed category value on the CRF, not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Category"" can be included as the column header."
"CDASHIG v2.3","Findings","RE",,"12","RESCAT","Subcategory for Respiratory Test","A sub-division of the RECAT values based on user-defined characteristics.","What was the subcategory of the respiratory assessment?","[Respiratory Assessment Subcategory]; NULL","Char","O","Record the respiratory assessment subcategory, if not pre-printed on the CRF.","RESCAT","Maps directly to the SDTM variable listed in the SDTM Target column.","","","Sponsor-defined controlled terminology. This would most commonly be either a heading or a pre-printed category value on the CRF, not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Subcategory"" can be included in the column heading. RESCAT can only be used if there is a RECAT, and it must be a subcategorization of RECAT."
"CDASHIG v2.3","Findings","RE",,"13","REORRES","RE Test Result in Original Units","Result of the measurement or finding as originally received or collected.","What was the result of the measurement?","[RETEST] Result","Char","HR","Record the respiratory test result.","REORRES","Maps directly to the SDTM variable listed in the SDTM Target column.","","","Both quantitative results and interpretive findings or summaries may be recorded here."
"CDASHIG v2.3","Findings","RE",,"14","REORRESU","Respiratory Test Original Unit","The unit of the result as originally received or collected.","What was the unit of the result?","Unit","Char","R/C","Record or select the original unit in which these data were collected, if not pre-printed on CRF.","REORRESU","Maps directly to the SDTM variable listed in the SDTM Target column.","C71620","UNIT","Should be pre-printed on the CRF with the associated test when possible, rather than collected in a free-text field. Should be included if applicable and not available elsewhere."
"CDASHIG v2.3","Findings","RE",,"15","RERES","Respiratory Test Result or Finding","The result of the measurement or finding as originally received or collected.","Was the result (normal/abnormal/absent/present/ [sponsored defined response])?","(Result)","Char","O","Indicate the overall assessment for [RETEST].","REORRES","This does not map directly to an SDTM variable. The mapping instructions depend on the implementation; for example: \n 1. Where RERES is to used collect Normal, Abnormal or similar type classifications (e.g., Absent/Present) with a description of the abnormal result using the CDASH field REDESC. For SDTM submission datasets, If the CDASH field RERES = ""NORMAL"", populate the SDTM variables REORRES and RESTRESC with the value of the CDASH field RERES. If the CDASH field RERES is ""ABNORMAL"", populate the SDTM variable REORRES with the CDASH field REDESC. If the reported findings in REDESC are coded using a dictionary, then the SDTM variable RESTRESC is populated with the dictionary preferred term and REMODIFY is populated with the modified text used for coding. If the reported findings in REDESC are not coded, then the SDTM variable RESTRESC is populated with the CDASH REDESC field. The SDTM variable RENRIND may be populated with ""NORMAL"" or ""ABNORMAL"" if appropriate. \n 2. Where RERES is used to collect standardized values (e.g. a codelist) on the CRF and the value of ""OTHER"" is included, the CDASH field RERESOTH can be used to collect free-text values for ""Specify Other"". When using this field, the ""OTHER"" value recorded in the CDASH field RERES field is mapped to the SDTM variable RESTRESC and the value in the CDASH field RERESOTH is mapped to the SDTM variable REORRES. See SDTMIG for additional information.","","","The CDASH field RERES is used when the collected results are not mapped directly to the SDTM variable REORRES and must be transformed. For example,RERES is used to collect standardized values on the CRF and the value of ""OTHER"" is included and ""Specify Other"" is collected.REORES is collected using Normal, Abnormal and a description of the abnormality is collected."
"CDASHIG v2.3","Findings","RE",,"16","REDESC","Description of Respiratory Test Finding","Text description of respiratory test findings.","What was the description of the (abnormality/observed finding/[Sponsor-defined])?","(Abnormal) Findings","Char","O","Record all abnormal findings for the respiratory test in the space provided.","REORRES","This does not map directly to an SDTM variable. May be used to populate a value into the SDTM variable REORRES. If RERES=""Normal"", populate REORRES with the value of RERES. If RERES=""Abnormal"", populate REORRES with the value of REDESC.","","","RERES and REDESC are used when a question is asked to collect the finding result, with a follow-up question for a description of the finding. See CDASH General finding Assumptions"
"CDASHIG v2.3","Findings","RE",,"17","RERESOTH","Respiratory Test Result Other","A free-text result which provides further information about the original received or collected result.","If other is selected, [explain/specify/provide more detail].","[Specify Other/Explain/Specify Details]","Char","O","Provide more detail for the &quot;Other&quot; result.","REORRES","When using this CDASH field, the ""OTHER"" value collected in the CDASH field RERES is mapped to the SDTM variable RESTRESC and the value in the CDASH field RERESOTH is mapped to the SDTM variable REORRES.","","","In cases where RERES is used to collect standardized values on the CRF and the value of ""OTHER"" is included, the CDASH field RERESOTH can be used to collect free-text values for ""Specify Other""."
"CDASHIG v2.3","Findings","RE",,"18","REORNRLO","RE Ref Range Lower Limit- Original Unit","The lower end of normal range or reference range for continuous results stored in REORRES.","What was the lower limit of the reference range?","Normal Range Lower Limit","Char","O","Record the lower limit of the reference range of the respiratory test.","","Maps directly to the SDTM variable listed in the SDTM Target column.","","","REORNRLO should be populated only for continuous findings. The SDTM variable RESTNRC should be populated only for noncontinuous results. These data may be obtained from the lab or the electronic equipment. These data could be derived from a site or lab specific set of normal ranges stored in a look-up table."
"CDASHIG v2.3","Findings","RE",,"19","REORNRHI","RE Ref Range Upper Limit- Original Unit","The upper end of normal range or reference range for continuous results stored in REORRES.","What was the upper limit of the reference range?","Normal Range Upper Limit","Char","O","Record the upper limit of the reference range of the respiratory test.","","Maps directly to the SDTM variable listed in the SDTM Target column.","","","REORNRHI should be populated only for continuous findings. The SDTM variable RESTNRC should be populated only for noncontinuous results. These data may be obtained from the lab or the electronic equipment. These data could be derived from a site or lab specific set of normal ranges stored in a look-up table."
"CDASHIG v2.3","Findings","RE",,"20","RENRIND","RE Reference Range Indicator","An indication or description about how the value compares to the normal range or reference range.","How do the reported values compare within the [reference/normal/expected] range?","Comparison to [Reference/Expected/Normal] Range","Char","O","Record where the test result fell with respect to the reference range.","","Maps directly to the SDTM variable listed in the SDTM Target column.","C78736","NRIND","Reference ranges may be defined by REORNRLO, REORNRHI, RESTNRC or other objective criteria. Reference Range Indicator (e.g., Y, N; HIGH, LOW; NORMAL, ABNORMAL) may be included if not derived or determined programmatically after data collection. Should not be used to indicate clinical significance."
"CDASHIG v2.3","Findings","RE",,"21","RESTAT","Completion Status","This variable is used to indicate that data are not available, by having the site recording the value as &quot;Not Done&quot;.","Indicate if the [RETEST] was not [answered/assessed/done/evaluated/performed].","Not Done","Char","O","Indicate if the respiratory assessment or measurement was not done.","RESTAT","Maps directly to the SDTM variable listed in the SDTM Target column. If collected, the Origin (a column in the Define-XML) =""CRF""; if populated from other sources such as free text or sponsor-defined listing for REREASND, the Origin =""DERIVED"".","C66789","ND","Used only when the response value is collected as NOT DONE or NULL in lieu of or in addition to the CDASH REPERF field. Typically a checkbox which indicates the test was NOT DONE. This field can be useful when multiple questions are asked to confirm that a blank result field is meant to be blank."
"CDASHIG v2.3","Findings","RE",,"22","REREASND","Reason Not Done","An explanation for why the data are not available.","Was the was the reason that the respiratory (assessment/[RETEST]) was not [collected / answered / done / assessed / evaluated]?","Reason Not [Answered/Collected/Done/Evaluated/Assessed/Available]","Char","O","Provide the reason the measurement or test was not done.","REREASND","Maps directly to the SDTM variable listed in the SDTM Target column.","","","Sponsor-defined controlled terminology may be used. The reason the data are not available may be chosen from a sponsor-defined codelist (e.g., broken equipment, subject refused) or entered as free text. When REREASND is used, RESTAT should also be populated in the SDTM-based dataset."
"CDASHIG v2.3","Findings","RE",,"23","REPOS","Position of Subject During Observation","The position of the subject during a measurement or examination.","What was the position of the subject during the assessment?","Position","Char","O","Record the position of subject at time of test.","REPOS","Maps directly to the SDTM variable listed in the SDTM Target column.","C71148","POSITION","Results may be affected by whether conditions for respiratory test, as specified in the protocol, were properly met. One common condition is the subject's position. If the protocol requires this type of information, then a CDASH variable [RETESTCD]_REPOS may be created for each RETESTCD and added to the CRF, if needed."
"CDASHIG v2.3","Findings","RE",,"24","RELOC","Location","Location used for the measurement.","What was the anatomical location where the measurement was taken?","Anatomical Location","Char","O","Record or select location on body where the measurement was performed.","RELOC","Maps directly to the SDTM variable listed in the SDTM Target column.","C74456","LOC","Collected or pre-printed when the sponsor needs to identify the specific anatomical location. Sponsors may collect the data using a subset list of controlled terminology on the CRF.LAT, DIR, and PORTOT are used to further describe the anatomical location."
"CDASHIG v2.3","Findings","RE",,"25","RELAT","Laterality","Qualifier for anatomical location, further detailing the side of the body.","What was the side of the anatomical location of the [measurement/test/examination])?","Side","Char","O","Record the side of the anatomical location of the respiratory test or measurement.","RELAT","Maps directly to the SDTM variable listed in the SDTM Target column.","C99073","LAT","May be pre-printed or collected when the sponsor needs to identify the specific side of the anatomical location. Sponsors may collect the data using a subset list of controlled terminology on the CRF."
"CDASHIG v2.3","Findings","RE",,"26","REDIR","Directionality","Qualifier further detailing the position of the anatomical location, relative to the center of the body, organ, or specimen.","What was the directionality of the anatomical location of the respiratory test?","Directionality","Char","O","Record the directionality of the anatomical location of the respiratory test.","REDIR","Maps directly to the SDTM variable listed in the SDTM Target column.","C99074","DIR","May be pre-printed or collected when the sponsor needs to identify the directionality of the anatomical location. Sponsors may collect the data using a subset list of controlled terminology on the CRF."
"CDASHIG v2.3","Findings","RE",,"27","REMETHOD","Method of Respiratory Test","The method of the test or examination.","What was the method (used for the [measurement/test/examination])?","Method","Char","O","Record the method used for the respiratory test.","REMETHOD","Maps directly to the SDTM variable listed in the SDTM Target column.","C85492","METHOD","This information may be collected when more than 1 method is possible, and collecting the method used is necessary."
"CDASHIG v2.3","Findings","RE",,"28","REEVAL","Respiratory Test Evaluator","The role of the person who provided the evaluation.","Who was the evaluator?","Evaluator","Char","O","Select the role of the person who provided the evaluation.","REEVAL","Maps directly to the SDTM variable listed in the SDTM Target column.","C78735","EVAL","Used only for results that are subjective (e.g., assigned by a person or a group). May be a pre-printed or collected. Sponsors may collect the data using a subset list of controlled terminology on the CRF."
"CDASHIG v2.3","Findings","RE",,"29","REEVALID","Respiratory Test Evaluator Identifier","An identifier used to distinguish multiple evaluators with the same role recorded in REEVAL.","What is the identifier of the evaluator?","Evaluator Identifier","Char","O","Record the unique identifier assigned to the person making the evaluation.","REEVALID","Maps directly to the SDTM variable listed in the SDTM Target column.","C96777","MEDEVAL","Collect if multiple evaluators are used in the study (may be omitted if multiple evaluators are not used); values should follow controlled terminology."
"CDASHIG v2.3","Findings","RE",,"30","REACPTFL","Accepted Record Flag","An indication that the evaluation is considered, by an independent assessor, to be the accepted or final evaluation.","Was this record considered to be the accepted evaluation?","Accepted Evaluation","Char","O","Indicate whether or not the evaluation is considered, by an independent assessor, to be the accepted or final evaluation.","","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","NY","Use where more than one assessor provides an evaluation of a result or response. Typically a checkbox with the value of ""Y"" or ""NULL"", which indicates the evaluation was accepted."
"CDASHIG v2.3","Findings","RE",,"31","REREPNUM","Respiratory Test Repetition Number","The instance number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary (e.g., within a time point, within a visit).","What was the repetition number within the time point for this measurement?","Repetition Number","Char","O","Record the repetition number of the measurement within the time point.","REREPNUM","Maps directly to the SDTM variable listed in the SDTM Target column.","","","The repetition number of the test/measurement within the time point may be pre-printed on the CRF."
"CDASHIG v2.3","Findings","RE",,"32","RECLSIG","Respiratory Test Clinical Significance","An indication of whether the test results were clinically significant.","Was this result clinically significant?","Clinically Significant","Char","O","Record whether respiratory test results were clinically significant.","","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","NY","Could apply to specific measurements or to overall interpretation, as required by the protocol."
"CDASHIG v2.3","Findings","RP",,"1","STUDYID","Study Identifier","A unique identifier for a study.","What is the study identifier?","[Protocol/Study]","Char","HR",,"STUDYID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or in the EDC system. This field can be included in the database or populated during SDTM- based dataset creation before submission."
"CDASHIG v2.3","Findings","RP",,"2","SITEID","Study Site Identifier","A unique identifier for a site within a study.","What is the site identifier?","Site (Identifier)","Char","HR",,"SITEID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically pre-printed in the header of each CRF page for single-site studies. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be pre-printed on the CRFs that are shipped to each site. \n EDC: This should be pre-populated."
"CDASHIG v2.3","Findings","RP",,"3","SUBJID","Subject Identifier for the Study","A unique subject identifier within a site and a study.","What [is/was] the (study) [subject/participant] identifier?","[Subject/Participant] (Identifier)","Char","HR","Record the identifier for the subject.","SUBJID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically recorded in the header of each CRF page. EDC: The subject identifiers may be system-generated. This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTMIG DM domain. For more information, refer to the SDTMIG."
"CDASHIG v2.3","Findings","RP",,"4","VISIT","Visit Name","The name of a clinical encounter that encompasses planned and unplanned trial interventions, procedures, and assessments that may be performed on a subject.","What is the visit name?","[Visit]","Char","R/C",,"VISIT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","The name of the clinical encounter is typically pre-printed on the CRF or displayed in the EDC for any visit-based data collection, most often in Findings domains. This Visit text description is then available in any EDC data extract for that Findings domain."
"CDASHIG v2.3","Findings","RP",,"5","VISDAT","Visit Date","Date the clinical encounter occurred (or started).","What [is/was] the date of the visit?","(Visit) Date","Char","R/C","Record the [date/start date] of the visit using this format (DD-MON-YYYY).","","This field is not an SDTM variable. The date of a measurement, test, observation can be determined from the date/time of visit (VISDAT/VISTIM) and then concatenating the CDASH VISDAT/VISTIM components and populating the SDTMIG variable RPDTC in ISO 8601 format.","","","The date the reproductive system findings were collected can be determined from the visit date variable (VISDAT) and applying that date to all of the reproductive system findings at that visit, or the collection date can be included on the RP CRF using the date (RPDAT) field."
"CDASHIG v2.3","Findings","RP",,"6","RPCAT","Category for Repro System Findings","A grouping of topic-variable values based on user-defined characteristics.","What was the category of the reproductive system?","[Reproductive System Category]; NULL","Char","O","Record the reproductive system category, if not pre-printed on the CRF.","RPCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be either a heading or a pre-printed category value on the CRF, and not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Category"" can be included in the column heading."
"CDASHIG v2.3","Findings","RP",,"7","RPSCAT","Subcategory for Repro System Findings","A sub-division of the RPCAT values based on user-defined characteristics.","What was the subcategory of the reproductive system?","Reproductive System Subcategory]; NULL","Char","O","Record the reproductive system subcategory, if not pre-printed on the CRF.","RPSCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be either a heading or a pre-printed category value on the CRF, and not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Subcategory"" can be included in the column heading. RPSCAT can only be used if there is an RPCAT, and it must be a subcategorization of RPCAT."
"CDASHIG v2.3","Findings","RP",,"8","RPPERF","Reproductive System Evaluation Performed","An indication of whether a planned measurement, series of measurements, test, or observation was performed.","Was a reproductive system evaluation performed?","Reproductive System Evaluation Performed","Char","O","Indicate whether or not a planned reproductive system evaluation was done.","RPSTAT","This does not map directly to an SDTMIG variable. May be used to derive a value into the SDTMIG variable RPSTAT. If the CDASH field RPPERF=""N"", the value of RPSTAT will be ""NOT DONE"". If RPPERF=""Y"", RPSTAT should be null. A combination of SDTMIG variables (e.g., RPCAT and RPSCAT, RPTPT) is used to indicate that multiple tests were not done. In this situation, the SDTMIG variable RPTESTCD would be populated as RPALL and an appropriate test name (RPTEST) provided. See SDTMIG for additional information.","C66742","NY","This may be implemented for a series of reproductive system evaluations, or a specific reproductive system test. This general prompt question is used as a data management tool to verify that missing results are confirmed missing."
"CDASHIG v2.3","Findings","RP",,"9","RPREASND","RP Reason Not Performed","An explanation for why the data are not available.","What was the reason the reproductive system test was not collected?","Reason Not Done","Char","O","Provide the reason the measurement or test was not done.","RPREASND","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","The reason the data are not available may be chosen from a sponsor-defined list (e.g., broken equipment, subject refused) or entered as free text. When PCREASND is used, the SDTMIG variable PCSTAT should also be populated in the SDTM-based dataset."
"CDASHIG v2.3","Findings","RP",,"10","RPYN","Any Reproductive System Findings","General prompt question regarding whether any reproductive system findings are available.","Were there any reproductive system findings?","Any Reproductive System Findings","Char","O","Indicate if the there are reproductive system findings. If Yes, include the appropriate details where indicated on the CRF.","","Does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","C66742","NY","The intent/purpose of collecting this field is to help with data cleaning and monitoring. It provides verification that all other fields on the CRF were deliberately left blank."
"CDASHIG v2.3","Findings","RP",,"11","RPSPID","RP Sponsor-Defined Identifier","A sponsor-defined identifier. In CDASH, this is typically used for pre-printed or auto-generated numbers on the CRF, or any other type of identifier that does not already have a defined CDASH identifier field.","[Sponsor-defined question]","[Sponsor defined]","Char","O","If collected on the CRF, the sponsor may insert instructions to ensure each record has a unique identifier.","RPSPID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. May be used to create RELREC to link this record with a record in another domain.","","","Because SPID is a sponsor-defined identifier, conformance to Question Text or Item Prompt is not applicable. Typically used as an identifier in a data query to communicate clearly to the site the specific record in question or to reconcile data. May be used to record pre-printed number (e.g., line number, record number) on the CRF. This field may be populated by the sponsor's data collection system."
"CDASHIG v2.3","Findings","RP",,"12","RPTEST","Reproductive System Findings Test Name","Descriptive name for reproductive system finding.","What is the reproductive finding name?","[Reproductive System Findings Test Name]","Char","HR","Select the name of the reproductive system finding, or record if not pre-printed on the CRF. If collected on the CRF, the sponsor may provide additional instructions to ensure the data is entered as intended.","RPTEST; RPTESTCD","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. The SDTMIG variable RPTESTCD may be determined from the value collected in RPTEST. The SDTMIG variables RPTESTCD and RPTEST are required in the SDTM submission datasets. Use appropriate CDISC Controlled Terminology for the test and test code.","C106478","RPTEST","Required to identify which test the result is for. It is recommended that test names be pre-printed on the CRF rather than collected in a free-text field. If the form is laid out as a grid, then words such as ""Test"" can be included in the column heading."
"CDASHIG v2.3","Findings","RP",,"13","RPORRES","RP Result or Finding in Original Units","Result of the finding defined in reproductive system finding, as originally received or collected.","What was the result for the reproductive system question?","(Result)","Char","HR","Record the reproductive system finding.","RPORRES","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Both quantitative results and interpretive findings or summaries may be recorded here."
"CDASHIG v2.3","Findings","RP",,"14","RPORRESU","RP Original Units","The unit of the result as originally received or collected.","What was the unit of the result?","Unit","Char","R/C","Record the original unit in which these data were collected, if not pre-printed on the CRF.","RPORRESU","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71620","UNIT","Should be pre-printed on the CRF with the associated test when possible, rather than collected in a free-text field."
"CDASHIG v2.3","Findings","RP",,"15","RPDAT","Reproductive System Finding Date","The date on which the reproductive system result or finding was collected, represented in an unambiguous date format (e.g., DD-MON-YYYY).","What was the date the reproductive system question was collected?","Collection Date","Char","R/C","Record the date of collection using this format (DD-MON-YYYY).","RPDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH DATE and TIME components and populate the SDTMIG variable RPDTC in ISO 8601 format.","","","This should be a complete date. The date of collection may be determined from the date of visit (VISDAT)."
"CDASHIG v2.3","Findings","RS",,"1","STUDYID","Study Identifier","A unique identifier for a study.","What is the study identifier?","[Protocol/Study]","Char","HR",,"STUDYID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or in the EDC system. This field can be included in the database or populated during SDTM-based dataset creation before submission."
"CDASHIG v2.3","Findings","RS",,"2","SITEID","Study Site Identifier","A unique identifier for a site within a study.","What is the site identifier?","Site (Identifier)","Char","HR",,"SITEID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically preprinted in the header of each CRF page for single-site studies. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be preprinted on the CRFs that are shipped to each site. \n EDC: This should be prepopulated."
"CDASHIG v2.3","Findings","RS",,"3","SUBJID","Subject Identifier for the Study","A unique subject identifier within a site and a study.","What [is/was] the (study) [subject/participant] identifier?","[Subject/Participant] (Identifier)","Char","HR","Record the identifier for the subject.","SUBJID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically recorded in the header of each CRF page. EDC: The subject identifiers may be system-generated. This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTMIG DM domain. For more information, refer to the SDTMIG."
